STATION,lat,long
1 AV,40.731759,-73.982277
116 ST,40.80835,-73.96359
125 ST,40.804622,-73.937429
14 ST,40.738228,-73.996209
14 ST-UNION SQ,40.735,-73.991
18 ST,40.74104,-73.997871
23 ST,40.744,-73.996
28 ST,40.747,-73.993
3 AV-149 ST,40.816329,-73.917956
34 ST-HERALD SQ,40.749142,-73.98881
34 ST-HUDSON YD,40.755882,-74.00191
34 ST-PENN STA,40.75,-73.991
42 ST-PORT AUTH,40.757736,-73.989527
47-50 STS ROCK,40.759037,-73.981175
57 ST,40.76582,-73.980337
57 ST-7 AV,40.76582,-73.980337
59 ST,40.64178,74.017668
59 ST COLUMBUS,40.76888,-73.981411
61 ST WOODSIDE,40.745887,-73.902925
72 ST,40.768793,-73.958421
8 ST-NYU,40.73,-73.993
86 ST,40.778035,-73.951779
96 ST,40.786041,-73.950935
ASTOR PL,40.73,-73.991
BEDFORD AV,40.717541,-73.957015
BROOKLYN BRIDGE,40.713058,-74.00394
CANAL ST,40.719682,-74.001778
CHAMBERS ST,40.715668,-74.009223
CORTLANDT ST,40.711,-74.011
DEKALB AV,40.689991,-73.981161
ELMHURST AV,40.750775,-73.881942
FULTON ST,40.71,-74.01
GRD CNTRL-42 ST,40.752384,-73.977179
PARK PLACE,40.713,-74.009
PATH NEW WTC,40.711721,-74.011449
PRINCE ST,40.724,-73.998
PROSPECT PARK,40.661025,-73.962132
SPRING ST,40.722,-73.997
TIMES SQ-42 ST,40.755,-73.987
WTC-CORTLANDT,40.712,-74.012
